# Symbol CRCs demanded by the stock Motorola Razr Fold vendor_dlkm modules.
# Extracted from the __versions section of all 328 modules of MMI-W3WB36.36-48-5.
# A module loads only if a provider exports the symbol with exactly this CRC, so every
# row whose provider is 'vmlinux' is a hard constraint on the kernel we build.
# provider: vmlinux = the stock kernel exports it
#           module  = another vendor module exports it
#           unknown = neither (the stock kernel lacks it too, so not a regression)
# columns: crc<TAB>symbol<TAB>provider<TAB>importer-count<TAB>example-importers
0xacc1b6f2	cfg80211_cac_event	module	1	mac80211.ko
0x78e323da	cfg80211_calculate_bitrate	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x394176e9	cfg80211_ch_switch_notify	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x9cdcbbce	cfg80211_ch_switch_started_notify	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x5784bb96	cfg80211_chandef_compatible	module	1	mac80211.ko
0x0d58c13a	cfg80211_chandef_create	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xcb542843	cfg80211_chandef_dfs_required	module	1	mac80211.ko
0x233ccf40	cfg80211_chandef_primary	module	1	mac80211.ko
0xe11e4460	cfg80211_chandef_usable	module	1	mac80211.ko
0xb71e8e18	cfg80211_chandef_valid	module	1	mac80211.ko
0xfe5b0e60	cfg80211_check_combinations	module	1	mac80211.ko
0xbf3d9618	cfg80211_check_station_change	module	1	mac80211.ko
0xce3be673	cfg80211_classify8021d	module	1	mac80211.ko
0x5219fd99	cfg80211_connect_done	module	1	qca_cld3_peach_v2.ko
0xb27ac4b7	cfg80211_control_port_tx_status	module	1	mac80211.ko
0x3aff2ffe	cfg80211_cqm_beacon_loss_notify	module	1	mac80211.ko
0x29d1eb52	cfg80211_cqm_pktloss_notify	module	1	mac80211.ko
0x8de0589f	cfg80211_cqm_rssi_notify	module	1	mac80211.ko
0x79976f20	cfg80211_defragment_element	module	1	mac80211.ko
0x9d355bfc	cfg80211_del_sta_sinfo	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x7bd0f5ea	cfg80211_disconnected	module	1	qca_cld3_peach_v2.ko
0x1acb2223	cfg80211_external_auth_request	module	1	qca_cld3_peach_v2.ko
0x24aea745	cfg80211_find_elem_match	module	1	mac80211.ko
0xd6488dfc	cfg80211_free_nan_func	module	1	mac80211.ko
0x69224677	cfg80211_get_drvinfo	module	1	mac80211.ko
0xb48bad5f	cfg80211_get_iftype_ext_capa	module	1	mac80211.ko
0x36f528c7	cfg80211_get_p2p_attr	module	1	mac80211.ko
0xb1b38571	cfg80211_gtk_rekey_notify	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x301384f8	cfg80211_ibss_joined	module	1	mac80211.ko
0xd18e74db	cfg80211_iftype_allowed	module	1	mac80211.ko
0xa864d88e	cfg80211_inform_bss_frame_data	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xf6017a73	cfg80211_is_element_inherited	module	1	mac80211.ko
0xf698bae1	cfg80211_iter_combinations	module	1	mac80211.ko
0x1aa02f77	cfg80211_iter_rnr	module	1	mac80211.ko
0x396b4e72	cfg80211_links_removed	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xb0e0d803	cfg80211_merge_profile	module	1	mac80211.ko
0xcc9cb1ba	cfg80211_mgmt_tx_status_ext	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x874b344c	cfg80211_michael_mic_failure	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xbd1aef21	cfg80211_mlo_reconf_add_done	module	1	qca_cld3_peach_v2.ko
0x1021f4d0	cfg80211_nan_func_terminated	module	1	mac80211.ko
0xee8dd5b5	cfg80211_nan_match	module	1	mac80211.ko
0x9d355bfc	cfg80211_new_sta	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xdee7e12a	cfg80211_pmksa_candidate_notify	module	1	qca_cld3_peach_v2.ko
0xbe5e82a1	cfg80211_probe_status	module	1	mac80211.ko
0xf8c7e162	cfg80211_put_bss	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x5959032d	cfg80211_radio_chandef_valid	module	1	mac80211.ko
0xfcca714c	cfg80211_ready_on_channel	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0xf8c7e162	cfg80211_ref_bss	module	1	mac80211.ko
0x26c82701	cfg80211_reg_check_beaconing	module	1	mac80211.ko
0xdae0e24d	cfg80211_register_netdevice	module	2	mac80211.ko,qca_cld3_peach_v2.ko
0x6e740279	cfg80211_remain_on_channel_expired	module	2	mac80211.ko,qca_cld3_peach_v2.ko
